compression_name,number,dataset,division_coefficient,compression_size,compressed_time
Fauna,0.0,powerlog,16,5.7G,392.0
Fauna,0.01,powerlog,16,2.7G,950.0
Fauna,0.1,powerlog,16,1.6G,730.0
Fauna,1.0,powerlog,16,840M,401.0
Fauna,10.0,powerlog,16,463M,206.0
Fauna,5.0,powerlog,16,556M,244.0
Fauna,0.0,powerlog,2,5.8G,207.0
Fauna,0.01,powerlog,2,2.7G,252.0
Fauna,0.1,powerlog,2,1.7G,226.0
Fauna,1.0,powerlog,2,913M,139.0
Fauna,10.0,powerlog,2,469M,121.0
Fauna,5.0,powerlog,2,571M,119.0
Fauna,0.0,powerlog,4,5.7G,219.0
Fauna,0.01,powerlog,4,2.7G,310.0
Fauna,0.1,powerlog,4,1.6G,280.0
Fauna,1.0,powerlog,4,871M,162.0
Fauna,10.0,powerlog,4,468M,124.0
Fauna,5.0,powerlog,4,566M,124.0
Fauna,0.0,powerlog,8,5.7G,203.0
Fauna,0.01,powerlog,8,2.7G,594.0
Fauna,0.1,powerlog,8,1.6G,584.0
Fauna,1.0,powerlog,8,839M,351.0
Fauna,10.0,powerlog,8,463M,259.0
Fauna,5.0,powerlog,8,556M,265.0
