dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.0,2,gorilla,frequency,147408774
powerlog,0.0,2,pmc,frequency,155881107
powerlog,0.0,2,swing,frequency,0
powerlog,0.0,2,gorilla,activepower,303289881
powerlog,0.0,2,pmc,activepower,0
powerlog,0.0,2,swing,activepower,0
powerlog,0.0,2,gorilla,activepower60,303289881
powerlog,0.0,2,pmc,activepower60,0
powerlog,0.0,2,swing,activepower60,0
powerlog,0.0,2,gorilla,activepower600,303289881
powerlog,0.0,2,pmc,activepower600,0
powerlog,0.0,2,swing,activepower600,0
powerlog,0.0,2,gorilla,rawreactivepower,303289881
powerlog,0.0,2,pmc,rawreactivepower,0
powerlog,0.0,2,swing,rawreactivepower,0
powerlog,0.0,2,gorilla,rawpower,303289881
powerlog,0.0,2,pmc,rawpower,0
powerlog,0.0,2,swing,rawpower,0
powerlog,0.0,2,gorilla,powererror,303289551
powerlog,0.0,2,pmc,powererror,330
powerlog,0.0,2,swing,powererror,0
powerlog,0.0,2,gorilla,powerupperlimit,151622299
powerlog,0.0,2,pmc,powerupperlimit,151667582
powerlog,0.0,2,swing,powerupperlimit,0
powerlog,0.0,2,gorilla,powerlowerlimit,152530206
powerlog,0.0,2,pmc,powerlowerlimit,150759675
powerlog,0.0,2,swing,powerlowerlimit,0
powerlog,0.0,2,gorilla,availablepower,290290975
powerlog,0.0,2,pmc,availablepower,12998776
powerlog,0.0,2,swing,availablepower,130
