dataset,error_bound,coefficient,model_type,signal,value_cnt
powerlog,0.1,8,gorilla,frequency,696
powerlog,0.1,8,pmc,frequency,139885107
powerlog,0.1,8,swing,frequency,163404078
powerlog,0.1,8,gorilla,activepower,293030388
powerlog,0.1,8,pmc,activepower,296458
powerlog,0.1,8,swing,activepower,9963035
powerlog,0.1,8,gorilla,activepower60,68211221
powerlog,0.1,8,pmc,activepower60,7705767
powerlog,0.1,8,swing,activepower60,227372893
powerlog,0.1,8,gorilla,activepower600,9164631
powerlog,0.1,8,pmc,activepower600,7518588
powerlog,0.1,8,swing,activepower600,286606662
powerlog,0.1,8,gorilla,rawreactivepower,303289881
powerlog,0.1,8,pmc,rawreactivepower,0
powerlog,0.1,8,swing,rawreactivepower,0
powerlog,0.1,8,gorilla,rawpower,303289075
powerlog,0.1,8,pmc,rawpower,0
powerlog,0.1,8,swing,rawpower,806
powerlog,0.1,8,gorilla,powererror,293634030
powerlog,0.1,8,pmc,powererror,2648367
powerlog,0.1,8,swing,powererror,7007484
powerlog,0.1,8,gorilla,powerupperlimit,30675035
powerlog,0.1,8,pmc,powerupperlimit,35118540
powerlog,0.1,8,swing,powerupperlimit,237496306
powerlog,0.1,8,gorilla,powerlowerlimit,74542207
powerlog,0.1,8,pmc,powerlowerlimit,48297475
powerlog,0.1,8,swing,powerlowerlimit,180450199
powerlog,0.1,8,gorilla,availablepower,133458216
powerlog,0.1,8,pmc,availablepower,16168333
powerlog,0.1,8,swing,availablepower,153663332
