dataset,batch_size,error_bound,compression_size,compressed_time
powerlog,131072,0.0,6.6G,182.0
powerlog,131072,0.01,5.0G,174.0
powerlog,131072,0.1,3.6G,158.0
powerlog,131072,1.0,1.8G,110.0
powerlog,131072,10.0,1.3G,105.0
powerlog,131072,5.0,1.4G,103.0
powerlog,16384,0.0,6.5G,300.0
powerlog,16384,0.01,5.0G,301.0
powerlog,16384,0.1,3.5G,282.0
powerlog,16384,1.0,1.8G,227.0
powerlog,16384,10.0,1.3G,225.0
powerlog,16384,5.0,1.4G,221.0
powerlog,32768,0.0,6.5G,214.0
powerlog,32768,0.01,5.0G,206.0
powerlog,32768,0.1,3.6G,188.0
powerlog,32768,1.0,1.8G,139.0
powerlog,32768,10.0,1.3G,136.0
powerlog,32768,5.0,1.4G,137.0
powerlog,65536,0.0,6.6G,189.0
powerlog,65536,0.01,5.0G,181.0
powerlog,65536,0.1,3.6G,165.0
powerlog,65536,1.0,1.8G,118.0
powerlog,65536,10.0,1.3G,113.0
powerlog,65536,5.0,1.4G,111.0
powerlog,8192,0.0,6.4G,404.0
powerlog,8192,0.01,4.9G,405.0
powerlog,8192,0.1,3.5G,387.0
powerlog,8192,1.0,1.8G,329.0
powerlog,8192,10.0,1.3G,324.0
powerlog,8192,5.0,1.4G,319.0
