dataset,error_bound,system,size(G),size(B),compression_speed(s)
powerlog,0.01,ModelarDB-Gorilla-Binary-Search,3.4,3465840,212
powerlog,0.01,ModelarDB-Gorilla-Log-Search-With-Check,3.4,3465844,214
powerlog,0.01,ModelarDB-Gorilla-Log-Search,3.4,3506992,208
powerlog,0.1,ModelarDB-Gorilla-Binary-Search,2.2,2215672,182
powerlog,0.1,ModelarDB-Gorilla-Log-Search-With-Check,2.2,2215672,185
powerlog,0.1,ModelarDB-Gorilla-Log-Search,2.2,2220536,182
powerlog,1.0,ModelarDB-Gorilla-Binary-Search,1.1,1083724,127
powerlog,1.0,ModelarDB-Gorilla-Log-Search-With-Check,1.1,1083724,127
powerlog,1.0,ModelarDB-Gorilla-Log-Search,1.1,1093068,126
powerlog,5.0,ModelarDB-Gorilla-Binary-Search,0.642,656524,116
powerlog,5.0,ModelarDB-Gorilla-Log-Search-With-Check,0.642,656524,117
powerlog,5.0,ModelarDB-Gorilla-Log-Search,0.655,670484,116
powerlog,10.0,ModelarDB-Gorilla-Binary-Search,0.539,551452,118
powerlog,10.0,ModelarDB-Gorilla-Log-Search-With-Check,0.539,551452,120
powerlog,10.0,ModelarDB-Gorilla-Log-Search,0.551,563316,118
turbinelog,0.01,ModelarDB-Gorilla-Binary-Search,7.2,7499636,971
turbinelog,0.01,ModelarDB-Gorilla-Log-Search,7.2,7490544,959
turbinelog,0.1,ModelarDB-Gorilla-Binary-Search,5.4,5581120,777
turbinelog,0.1,ModelarDB-Gorilla-Log-Search,5.4,5615136,770
turbinelog,1.0,ModelarDB-Gorilla-Binary-Search,3.8,3957732,660
turbinelog,1.0,ModelarDB-Gorilla-Log-Search,3.8,3982476,659
turbinelog,5.0,ModelarDB-Gorilla-Binary-Search,2.0,2094676,585
turbinelog,5.0,ModelarDB-Gorilla-Log-Search,2.1,2104000,588
turbinelog,10.0,ModelarDB-Gorilla-Binary-Search,0.539,1390820,564
turbinelog,10.0,ModelarDB-Gorilla-Log-Search,1.4,1394576,574
